url,fetched_at,status,property_name,location,station_walk,built_ym,exclusive_area_sqm,layout,price_jpy
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78092533/,2025-09-18T23:25:00.614676,200,レゾン　アレグレ,東京都中央区湊３,徒歩4分,2005年6月,55.66㎡,2LDK,980万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77636152/,2025-09-18T23:25:02.044815,200,ドゥトゥール EAST,東京都中央区晴海３,徒歩5分,2015年9月,42.88㎡,1LDK,980万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78267370/,2025-09-18T23:25:03.076807,200,カルムインフォアームズ東京コア,東京都中央区湊３,徒歩5分,2000年6月,57.49㎡,3LDK,999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77337777/,2025-09-18T23:25:04.446663,200,カルムインフォアームズ東京コア,東京都中央区湊３,徒歩5分,2000年6月,57.49㎡,3LDK,999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77955097/,2025-09-18T23:25:05.613334,200,カルムインフォアームズ東京コア,東京都中央区湊３,徒歩5分,2000年6月,57.49㎡,3LDK,999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77883552/,2025-09-18T23:25:07.100284,200,カルムインフォアームズ東京コア,東京都中央区湊３,徒歩5分,2000年6月,57.49㎡,3LDK,999万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78244415/,2025-09-18T23:25:08.590285,200,ザ・クレストタワー,東京都中央区佃２,徒歩3分,2004年9月,52.28㎡,1LDK,1200万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77732358/,2025-09-18T23:25:09.662729,200,アイ・マークタワー　1戸,東京都中央区月島１,徒歩1分,2003年8月,55.79㎡,1LDK,1480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/?page=3,2025-09-18T23:25:35.755078,200,アイ・マークタワー　1戸,東京都中央区月島１,徒歩1分,2003年8月,55.79㎡,1LDK,1億1480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77402518/,2025-09-18T23:25:39.809121,200,HARUMI FLAG PARK VILLAGE C…,東京都中央区晴海５-6-3,徒歩18分,2023年11月,66.85㎡,2LDK,1480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78111013/,2025-09-18T23:25:41.101950,200,東京アムフラット,東京都中央区日本橋兜町,徒歩5分,2001年3月,54.94㎡,1LDK+S（納戸）,1480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78390495/,2025-09-18T23:25:42.532076,200,アイ・マークタワー,東京都中央区月島１,徒歩1分,2003年8月,55.79㎡,1LDK,1480万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78362186/,2025-09-18T23:25:43.921383,200,銀座タワー,東京都中央区銀座１,徒歩4分,2003年7月,75.77㎡,2LDK,1500万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77856265/,2025-09-18T23:25:45.049934,200,オープンレジデンシア銀座築地,東京都中央区築地６,徒歩5分,2018年8月,48.45㎡,2LDK,1699万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78304041/,2025-09-18T23:25:46.528950,200,オーベルジュ日本橋,東京都中央区日本橋中洲,徒歩6分,2004年2月,55.52㎡,2LDK,1699万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77883359/,2025-09-18T23:25:47.634882,200,ウィルローズ月島,東京都中央区月島１,徒歩3分,2010年3月,69.59㎡,2LDK+S（納戸）,1800万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78376534/,2025-09-18T23:25:49.147055,200,HARUMI FLAG SUN VILLAGE,東京都中央区晴海５,徒歩13分,2023年11月,61.06㎡,2LDK,1880万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77870664/,2025-09-18T23:25:50.398559,200,オークプレイス月島,東京都中央区月島３,徒歩6分,2014年2月,68.87㎡,3LDK,1900万円
https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_77254338/,2025-09-18T23:25:51.443887,200,ＣＡＰＩＴＡＬ　ＧＡＴＥ　ＰＬＡＣＥ　ＴＨＥ　ＴＯＷ…,東京都中央区月島１,徒歩1分,2015年7月,40.23㎡,1LDK,1900万円
